id_partisipan,nama,tipe_partisipan,unit_geografis,segmen,tanggal_bergabung,email,usia,pendapatan
PK-0001,Andi Saputra,individu,Makassar,loyal,2023-12-01,pk-0001@lab.local,30,9865934
PK-0002,Budi Santoso,organisasi_kecil,Denpasar,prioritas,2024-01-07,pk-0002@lab.local,54,15313496
PK-0003,Sari Dewi,individu,Palembang,loyal,2023-10-04,pk-0003@lab.local,33,10674346
PK-0004,Ahmad Rizky,individu,Denpasar,loyal,2018-08-25,pk-0004@lab.local,38,11277882
PK-0005,Maria Chen,individu,Palembang,loyal,2023-03-19,pk-0005@lab.local,35,7317639
PK-0006,Dewi Lestari,individu,Yogyakarta,prioritas,2023-01-07,pk-0006@lab.local,39,8416052
PK-0007,Budi Hartono,organisasi_kecil,Denpasar,prioritas,2022-10-21,pk-0007@lab.local,39,13050644
PK-0008,Citra Dewi,individu,Balikpapan,loyal,2020-06-16,pk-0008@lab.local,29,6801183
PK-0009,Dimas Pratama,organisasi_kecil,Palembang,loyal,2023-12-21,pk-0009@lab.local,35,14310997
PK-0010,Eka Rahayu,organisasi_kecil,Surabaya,prioritas,2023-04-21,pk-0010@lab.local,40,14809593
PK-0011,Fajar Nugroho,organisasi_kecil,Bandung,loyal,2019-09-12,pk-0011@lab.local,30,13360990
PK-0012,Gita Lestari,individu,Denpasar,loyal,2021-04-17,pk-0012@lab.local,32,11132929
PK-0013,Hendra Wijaya,individu,Semarang,loyal,2021-07-08,pk-0013@lab.local,27,11295079
PK-0014,Indah Permata,organisasi_kecil,Palembang,prioritas,2021-11-30,pk-0014@lab.local,53,16199340
PK-0015,Joko Santoso,organisasi_menengah,Semarang,loyal,2019-02-22,pk-0015@lab.local,31,19240586
PK-0016,Kartika Sari,organisasi_menengah,Yogyakarta,prioritas,2023-05-24,pk-0016@lab.local,49,18155052
PK-0017,Lukman Hakim,individu,Medan,loyal,2018-11-19,pk-0017@lab.local,33,11224446
PK-0018,Maya Putri,individu,Jakarta,prioritas,2019-07-11,pk-0018@lab.local,44,8766951
PK-0019,Nanda Pratama,organisasi_menengah,Denpasar,prioritas,2021-07-12,pk-0019@lab.local,39,17897615
PK-0020,Oki Ramadhan,organisasi_kecil,Denpasar,prioritas,2021-01-20,pk-0020@lab.local,41,12031218
PK-0021,Andi Saputra,individu,Bandung,prioritas,2021-11-11,pk-0021@lab.local,40,9082473
PK-0022,Budi Santoso,organisasi_menengah,Palembang,prioritas,2020-09-17,pk-0022@lab.local,48,18154709
PK-0023,Sari Dewi,individu,Palembang,loyal,2020-02-28,pk-0023@lab.local,31,9918132
PK-0024,Ahmad Rizky,organisasi_kecil,Surabaya,prioritas,2019-07-11,pk-0024@lab.local,53,13685732
PK-0025,Maria Chen,individu,Denpasar,prioritas,2023-03-04,pk-0025@lab.local,53,11340223
PK-0026,Dewi Lestari,organisasi_menengah,Makassar,loyal,2019-06-15,pk-0026@lab.local,32,18538331
PK-0027,Budi Hartono,organisasi_menengah,Medan,prioritas,2021-07-02,pk-0027@lab.local,51,16502881
PK-0028,Citra Dewi,individu,Bandung,loyal,2024-01-09,pk-0028@lab.local,33,6440970
PK-0029,Dimas Pratama,individu,Semarang,prioritas,2023-09-10,pk-0029@lab.local,50,9539767
PK-0030,Eka Rahayu,individu,Yogyakarta,loyal,2021-06-07,pk-0030@lab.local,32,7676685
PK-0031,Fajar Nugroho,organisasi_menengah,Denpasar,loyal,2022-12-09,pk-0031@lab.local,36,18602170
PK-0032,Gita Lestari,individu,Yogyakarta,loyal,2019-05-25,pk-0032@lab.local,33,5839655
PK-0033,Hendra Wijaya,individu,Semarang,prioritas,2021-12-21,pk-0033@lab.local,53,9563885
PK-0034,Indah Permata,individu,Jakarta,prioritas,2019-09-23,pk-0034@lab.local,45,10157474
PK-0035,Joko Santoso,organisasi_menengah,Balikpapan,regular,2023-02-02,pk-0035@lab.local,22,16813886
PK-0036,Kartika Sari,organisasi_kecil,Jakarta,prioritas,2022-07-31,pk-0036@lab.local,43,14524155
PK-0037,Lukman Hakim,organisasi_kecil,Semarang,prioritas,2022-03-25,pk-0037@lab.local,49,15509986
PK-0038,Maya Putri,individu,Bandung,loyal,2019-04-11,pk-0038@lab.local,36,7130703
PK-0039,Nanda Pratama,platform,Denpasar,prioritas,2024-02-11,pk-0039@lab.local,42,19437628
PK-0040,Oki Ramadhan,organisasi_kecil,Semarang,prioritas,2018-06-19,pk-0040@lab.local,44,12070684
PK-0041,Andi Saputra,individu,Balikpapan,prioritas,2023-02-24,pk-0041@lab.local,47,7449135
PK-0042,Budi Santoso,individu,Makassar,loyal,2023-04-14,pk-0042@lab.local,28,7054428
PK-0043,Sari Dewi,organisasi_kecil,Medan,prioritas,2021-09-02,pk-0043@lab.local,39,15780398
PK-0044,Ahmad Rizky,organisasi_kecil,Surabaya,prioritas,2023-07-08,pk-0044@lab.local,49,14824653
PK-0045,Maria Chen,individu,Surabaya,regular,2020-03-31,pk-0045@lab.local,25,8432104
PK-0046,Dewi Lestari,organisasi_kecil,Surabaya,regular,2021-01-22,pk-0046@lab.local,24,12448426
PK-0047,Budi Hartono,individu,Palembang,loyal,2018-03-07,pk-0047@lab.local,37,10531043
PK-0048,Citra Dewi,organisasi_menengah,Balikpapan,prioritas,2019-03-07,pk-0048@lab.local,40,16584277
PK-0049,Dimas Pratama,organisasi_menengah,Medan,prioritas,2018-04-11,pk-0049@lab.local,46,17032605
PK-0050,Eka Rahayu,individu,Medan,loyal,2021-07-20,pk-0050@lab.local,35,8859283
